comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0258228596848861,0.0206088452344729,0.0086346465191581,0.0005828081668002,4
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0004759638267491,0.0077181325933971,0.014840798704803,0.0003517021602625,3
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0033910533910533,0.0041116801633686,0.014840798704803,0.0003369636742842,3
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0056495484120984,0.0146938339897694,0.0099838100377765,0.0005628871163508,4
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0004759638267491,0.0086876343875456,0.0153804641122504,0.0003504171267329,4
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0114649953270218,0.0181295017983373,0.015650296815974,0.0004360476393449,4
sasrec_softmax_uni_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0008658008658008,0.0042079528446531,0.007825148407987,0.0004689614698455,18
sasrec_softmax_uni_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.003334723731789,0.0056664867781975,0.0003237890498656,5
sasrec_softmax_uni_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.0019279026726955,0.0059363194819212,0.0003107780853776,5
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0008658008658008,0.0066694474635781,0.0072854830005396,0.0004499496412331,19
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.003334723731789,0.0056664867781975,0.000322637368872,5
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.0019279026726955,0.0059363194819212,0.000311411509924,5
