comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
__loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.015944788196097,0.0307352137310217,0.0647598488936859,0.0005491366514353,843
__loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.011883541295306,0.007441173452875,0.0617916891527253,0.0005241178972196,862
__loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0190980485483103,0.012357138245558,0.0569347004856988,0.0006092453070817,987
__loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0172513555636438,0.013025991391896,0.0644900161899622,0.0006125609360475,967
__loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0254111798614416,0.0220369195424752,0.0599028602266594,0.0005579288265995,918
__loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0151515151515151,0.0117228123404406,0.0617916891527253,0.0006030535063715,1400
__loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0153101697604315,0.0097679039518459,0.0518078791149487,0.0005896515764936,1187
__loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0153101697604315,0.0077893088429158,0.0626011872638963,0.000509709761842,1324
__loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0151515151515151,0.0080020643203815,0.0655693470048569,0.0005974860379894,1161
__loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0243942127065009,0.0230082517427916,0.0536967080410145,0.0006194710220089,1735
__loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0430523724641371,0.0200819580844284,0.0580140313005936,0.0005712671109488,1132
__loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0039465333967951,0.0050691762597556,0.0612520237452779,0.0006010471568511,1726
