comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0322442161062425,0.0290466292732853,0.0639503507825148,0.0006540850973449,212
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0175686647814766,0.0268703399869447,0.069886670264436,0.0005454361185586,213
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0154688243693479,0.009521939305526,0.0661090124123043,0.0005690364867086,184
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.03348512179741,0.0217947385046739,0.0671883432271991,0.0005806139114335,526
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0478716950845069,0.0311542462531133,0.0688073394495412,0.0004671036265585,303
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0327201799329917,0.0248588529212204,0.0720453318942255,0.0005300187469419,478
sasrec_softmax_uni_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0174100101725602,0.0203817640931979,0.0574743658931462,0.0006464446031743,392
sasrec_softmax_uni_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0325615253240753,0.0286194493106865,0.0634106853750674,0.0005715095701053,277
sasrec_softmax_uni_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0264934309436927,0.0151563379461572,0.0655693470048569,0.0005872754767595,216
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0322442161062425,0.0221892236511363,0.0572045331894225,0.0006660777333754,388
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0174100101725602,0.0275678966521661,0.0612520237452779,0.0006439836427354,218
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0156274789782643,0.015253624929221,0.0685375067458175,0.0005413203743763,246
