comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0258228596848861,0.0206088452344729,0.0086346465191581,0.0005828081668002,5
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0004759638267491,0.0077181325933971,0.014840798704803,0.0003517021602625,3
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0033910533910533,0.0041116801633686,0.014840798704803,0.0003369636742842,3
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0188964527584792,0.0154045576365673,0.007825148407987,0.0004143596677921,4
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0003173092178327,0.005710428852355,0.014840798704803,0.0003544298257736,4
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0,0.0,0.0164597949271451,0.0002736697114687,4
sasrec_softmax_uni_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0322510822510822,0.0144281356778627,0.0053966540744738,0.0003648949691179,20
sasrec_softmax_uni_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.0028723746778651,0.0059363194819212,0.0002433320095063,5
sasrec_softmax_uni_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.002223149154526,0.0062061521856449,0.0002884597200178,5
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0324097368599986,0.0184539586416507,0.0056664867781975,0.0003555875682461,23
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.0028723746778651,0.0059363194819212,0.0002408498338912,5
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.002223149154526,0.0062061521856449,0.0002885021503702,5
