comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0911405177650943,0.0790937320035778,0.0685375067458175,0.0007331995201248,258
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0457868313119314,0.0529262123274357,0.076902320561252,0.0006722513496488,367
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0199574832312744,0.0172390014964841,0.0709660010793308,0.0007272016867398,136
sasrec_softmax_inbatch_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0810395076640842,0.0713266145341073,0.0731246627091203,0.0007431979295927,488
sasrec_softmax_inbatch_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0327201799329917,0.024580430364894,0.0742039935240151,0.0006454656743298,523
sasrec_softmax_inbatch_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0170417714920332,0.0121589347969461,0.081219643820831,0.0006661444096434,358
sasrec_softmax_inbatch_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0183336066458949,0.0191669041691796,0.0572045331894225,0.0007289110237934,747
sasrec_softmax_inbatch_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0325615253240753,0.0222137255532353,0.0701565029681597,0.000612066925516,414
sasrec_softmax_inbatch_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0025758042388778,0.015915450246055,0.0725849973016729,0.0007112145361053,356
sasrec_softmax_inbatch_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0431384992518346,0.0409779704009742,0.066378845116028,0.0007094567072203,781
sasrec_softmax_inbatch_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0325615253240753,0.0226231126995869,0.0709660010793308,0.0006357945847232,409
sasrec_softmax_inbatch_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0193511959757725,0.029354259000797,0.0725849973016729,0.0006148764209925,574
