Component,Model,R@10,N@10,DR@10,DN@10,ARP@10,Time(s)
Sampling,Uniform,0.2289,0.1683,0.0387,0.0230,0.01136,25402
Sampling,Mixed-0.2,0.2156,0.1581,0.0416,0.0301,0.00921,51892
Sampling,Mixed-0.4,0.2101,0.1540,0.0503,0.0312,0.00836,46328
Sampling,Mixed-0.6,0.2081,0.1463,0.0544,0.0337,0.00782,48332
Sampling,Mixed-0.8,0.1984,0.1357,0.0498,0.0306,0.00653,50345
Sampling,MixedLogQ-0.2,0.2205,0.1590,0.0178,0.0088,0.01535,65808
Sampling,MixedLogQ-0.4,0.2188,0.1592,0.0189,0.0097,0.01549,65448
Sampling,MixedLogQ-0.6,0.2204,0.1610,0.0196,0.0101,0.01529,70553
Sampling,MixedLogQ-0.8,0.2233,0.1652,0.0195,0.0100,0.01529,67038
Sampling,InBatch,0.1716,0.1212,0.0404,0.0255,0.00603,35829
Sampling,InBatchLogQ,0.1484,0.0936,0.0083,0.0045,0.00854,44162 
