Component,Model,R@10,N@10,DR@10,DN@10,ARP@10,Time(s)
Sampling,Uniform,0.0415,0.0640,0.0338,0.0553,0.00067,509
Sampling,Mixed-0.2,0.0449,0.0702,0.0393,0.0596,0.00073,1450
Sampling,Mixed-0.4,0.0320,0.0578,0.0305,0.0514,0.00061,989
Sampling,Mixed-0.6,0.0309,0.0604,0.0262,0.0535,0.00063,1487
Sampling,Mixed-0.8,0.0303,0.0563,0.0278,0.0520,0.00062,1647
Sampling,MixedLogQ-0.2,0.0589,0.0923,0.0473,0.0799,0.00128,1570
Sampling,MixedLogQ-0.4,0.0668,0.0929,0.0558,0.0802,0.00131,1671
Sampling,MixedLogQ-0.6,0.0516,0.0870,0.0477,0.0792,0.00120,1586
Sampling,MixedLogQ-0.8,0.0542,0.0814,0.0435,0.0697,0.00126,1539
Sampling,InBatch,0.0361,0.0576,0.0318,0.0519,0.00055,1103
Sampling,InBatchLogQ,0.0568,0.0847,0.0462,0.0752,0.00122,1703 
