Component,Model,R@10,N@10,DR@10,DN@10,ARP@10,Time(s)
Baseline,Popular-7D,0.0137,0.0315,0.0138,0.0304,0.00068,0
Baseline,Popular,0.0421,0.0791,0.0393,0.0705,0.00216,0
Loss,Softmax,0.0425,0.0646,0.0330,0.0536,0.00067,279
Loss,Sampled softmax,0.0415,0.0640,0.0338,0.0553,0.00067,509
Loss,BCE,0.0328,0.0591,0.0266,0.0545,0.00077,475
Loss,gBCE-0.75,0.0432,0.0657,0.0382,0.0589,0.00075,687
Sampling,Uniform,0.0415,0.0640,0.0338,0.0553,0.00067,509
Sampling,InBatch,0.0361,0.0576,0.0318,0.0519,0.00055,1103
Sampling,InBatchLogQ,0.0568,0.0847,0.0462,0.0752,0.00122,1703
Sampling,Mixed-0.4,0.0322,0.0578,0.0305,0.0514,0.00061,989
Sampling,MixedLogQ-0.4,0.0668,0.0929,0.0558,0.0802,0.00131,1671
Objective,Shifted,0.0415,0.0640,0.0338,0.0553,0.00067,509
Objective,MLM,0.0387,0.0693,0.0368,0.0650,0.00082,1112
Objective,AllAction,0.0045,0.0120,0.0029,0.0107,0.00043,6
Objective,DenseAllAction,0.0353,0.0607,0.0312,0.0542,0.00068,2127
Layers,SASRec,0.0415,0.0640,0.0338,0.0553,0.00067,509
Layers,BERT4Rec,0.0348,0.0547,0.0296,0.0480,0.00061,532
Similarity,Dot,0.0415,0.0640,0.0338,0.0553,0.00067,509
Similarity,Cosine,0.0358,0.0626,0.0324,0.0532,0.00124,383 
