Component,Model,R@10,N@10,DR@10,DN@10,ARP@10,Time(s)
Sampling,Uniform,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Sampling,Mixed-0.2,0.0861,0.1330,0.0291,0.0350,0.00014,29562
Sampling,Mixed-0.4,0.0862,0.1309,0.0308,0.0347,0.00012,38460
Sampling,Mixed-0.6,0.0876,0.1301,0.0288,0.0330,0.00012,32465
Sampling,Mixed-0.8,0.0701,0.1033,0.0280,0.0313,0.00010,13215
Sampling,MixedLogQ-0.2,0.0870,0.1502,0.0295,0.0360,0.00082,29830
Sampling,MixedLogQ-0.4,0.0854,0.1449,0.0296,0.0383,0.00082,31166
Sampling,MixedLogQ-0.6,0.0943,0.1554,0.0306,0.0382,0.00071,31478
Sampling,MixedLogQ-0.8,0.0859,0.1492,0.0307,0.0377,0.00068,35641
Sampling,InBatch,0.0128,0.0152,0.0060,0.0067,0.00002,28101
Sampling,InBatchLogQ,0.0326,0.0500,0.0136,0.0150,0.00020,30653 
